rank,city,company,website,state,founded,industry,metro
1,Madison,SwanLeap,http://swanleap.com,Wisconsin,2013,Logistics & Transportation,"Madison, WI"
2,Boulder,PopSockets,http://popsockets.com,Colorado,2010,Consumer Products & Services,"Boulder, CO"
3,Chicago,Home Chef,homechef.com,Illinois,2013,Food & Beverage,Chicago
4,Denver,Velocity Global,http://velocityglobal.com,Colorado,2013,Business Products & Services,Denver
5,Scottsdale,DEPCOM Power,depcompower.com,Arizona,2013,Energy,Phoenix
6,Marietta,Aeronux Airways,aeronux.com,Georgia,2011,Logistics & Transportation,Atlanta
7,Milton,Diamond Assets,diamond-assets.com,Wisconsin,2014,Computer Hardware,
8,Chicago,GForce Life Sciences,http://gforcestaff.com,Illinois,2013,Human Resources,Chicago
8,San Francisco,Flexport,http://flexport.com,California,2013,Logistics & Transportation,San Francisco
9,Solana Beach,Scientist.com,http://scientist.com,California,2007,Health,San Diego
10,Greenwood,The Garrett Companies,http://thegarrettco.com,Indiana,2014,Real Estate,"Indianapolis, IN"
11,Vienna,DGC International,dgci.com,Virginia,2010,Government Services,"Washington, DC"
12,San Mateo,Exabeam,exabeam.com,California,2013,Security,San Francisco
13,Lehi,Podium,podium.com,Utah,2013,Business Products & Services,"Provo-Orem, UT"
14,Key Biscayne,Inova US,inovaus.com,Florida,2008,Advertising & Marketing,Miami
15,Sarasota,AdRizer,adrizer.com,Florida,2013,Software,"Sarasota-Bradenton-Venice, FL"
16,Tampa,Welfont,welfont.com,Florida,2014,Real Estate,Tampa
17,New York City,THINX,shethinx.com,New York,2014,Retail,New York City
18,Lakeland,Draken International,drakenintl.com,Florida,2011,Government Services,
19,San Francisco,Calm.com,calm.com,California,2012,Consumer Products & Services,San Francisco
20,Stoneham,Curate Partners,curatepartners.com,Massachusetts,2014,Human Resources,Boston
21,Los Angeles,FIGS,wearfigs.com,California,2013,Retail,Los Angeles
22,Woodbridge,TechAnax,techanax.com,Virginia,2012,Government Services,"Washington, DC"
24,Culver City,SnackNation,snacknation.com,California,2014,Food & Beverage,Los Angeles
25,Brooklyn,Brooklinen,brooklinen.com,New York,2014,Retail,New York City
26,Henderson,Lo70s,lo70s.com,Nevada,2013,Advertising & Marketing,"Las Vegas, NV"
27,South Ogden,Funded Today,funded.today.com,Utah,2014,Advertising & Marketing,"Ogden-Clearfield, UT"
28,New York City,Progyny,progyny.com,New York,2008,Health,New York City
29,Deerfield Beach,ShipMonk,shipmonk.com,Florida,2014,Logistics & Transportation,Miami
30,New York City,PowerInbox,powerinbox.com,New York,2012,Software,New York City
31,Washington,A. Prentice Ray,aprapros.com,District of Columbia,2008,Government Services,"Washington, DC"
32,San Francisco,Mesosphere,mesosphere.com,California,2013,Software,San Francisco
33,San Diego,Big Block Realty,bigblockrealty.com,California,2012,Real Estate,San Diego
34,Jacksonville,Live Oak Contracting,liveoakcontracting.com,Florida,2014,Construction,"Jacksonville, FL"
35,Washington,Fundrise,fundrise.com,District of Columbia,2010,Financial Services,"Washington, DC"
36,Silver Spring,Mindoula,mindoula.com,Maryland,2013,Health,"Washington, DC"
37,San Francisco,Grove Collaborative,grove.co,California,2012,Consumer Products & Services,San Francisco
38,Olney,Rockhammer Talent Solutions,rockhammerts.com,Maryland,2013,Human Resources,"Washington, DC"
39,Milford,Trupet,trudog.com,Ohio,2013,Retail,Cincinnati
